"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","21,015.91","20,879.03","21,091.05","20,879.03","154.66M","0.65%"
"12/22/2023","20,881.19","20,796.85","20,938.66","20,796.85","185.52M","0.56%"
"12/21/2023","20,765.73","20,663.69","20,810.03","20,663.69","219.44M","0.80%"
"12/20/2023","20,600.81","20,821.01","20,891.87","20,598.55","252.49M","-1.15%"
"12/19/2023","20,839.63","20,651.66","20,848.83","20,651.66","207.25M","1.05%"
"12/18/2023","20,622.71","20,543.78","20,676.19","20,543.78","223.83M","0.46%"
"12/15/2023","20,529.15","20,783.97","20,783.97","20,499.50","584.63M","-1.20%"
"12/14/2023","20,778.80","20,682.11","20,842.41","20,682.11","314.33M","0.72%"
"12/13/2023","20,629.45","20,217.21","20,629.71","20,125.08","253.69M","1.96%"
"12/12/2023","20,233.84","20,308.04","20,308.04","20,162.09","236.96M","-0.42%"
"12/11/2023","20,318.36","20,304.80","20,319.50","20,209.28","255.01M","-0.06%"
"12/08/2023","20,331.54","20,271.60","20,376.64","20,265.77","215.41M","0.26%"
"12/07/2023","20,278.51","20,301.55","20,315.80","20,236.48","241.44M","0.02%"
"12/06/2023","20,274.21","20,392.71","20,492.06","20,271.63","257.43M","-0.50%"
"12/05/2023","20,375.93","20,382.55","20,453.69","20,361.22","235.69M","-0.17%"
"12/04/2023","20,410.21","20,407.03","20,473.19","20,341.36","254.11M","-0.21%"
"12/01/2023","20,452.87","20,208.12","20,459.74","20,154.93","227.71M","1.07%"
"11/30/2023","20,236.29","20,157.59","20,244.24","20,107.27","397.33M","0.60%"
"11/29/2023","20,116.20","20,063.27","20,156.30","20,042.72","203.59M","0.40%"
"11/28/2023","20,036.77","19,955.70","20,075.97","19,918.47","215.59M","0.02%"
"11/27/2023","20,032.66","20,103.69","20,106.53","20,031.80","218.14M","-0.35%"
"11/24/2023","20,103.11","20,091.67","20,156.72","20,070.49","119.82M","-0.07%"
"11/23/2023","20,116.66","20,101.89","20,179.32","20,101.89","48.64M","0.01%"
"11/22/2023","20,113.96","20,123.20","20,168.67","20,048.89","200.96M","0.02%"
"11/21/2023","20,109.97","20,222.83","20,259.47","20,104.31","192.16M","-0.67%"
"11/20/2023","20,246.47","20,166.16","20,262.02","20,125.94","165.15M","0.35%"
"11/17/2023","20,175.77","20,096.54","20,206.63","20,096.54","190.92M","0.61%"
"11/16/2023","20,053.07","20,051.54","20,089.50","19,969.93","216.37M","-0.02%"
"11/15/2023","20,057.89","20,061.00","20,139.34","20,035.35","218.85M","0.17%"
"11/14/2023","20,023.73","19,863.47","20,071.03","19,863.47","223.08M","1.60%"
"11/13/2023","19,709.15","19,637.69","19,775.56","19,606.34","149.71M","0.28%"
"11/10/2023","19,654.47","19,596.18","19,655.92","19,503.17","170.46M","0.34%"
"11/09/2023","19,587.41","19,578.75","19,791.12","19,578.75","204.74M","0.29%"
"11/08/2023","19,530.21","19,566.40","19,646.03","19,479.39","196.55M","-0.23%"
"11/07/2023","19,575.59","19,701.29","19,701.29","19,530.67","228.64M","-0.85%"
"11/06/2023","19,743.94","19,850.28","19,905.37","19,709.99","178.95M","-0.41%"
"11/03/2023","19,824.85","19,701.26","19,888.40","19,690.30","241.03M","1.01%"
"11/02/2023","19,626.34","19,162.38","19,640.06","19,162.38","223.99M","2.87%"
"11/01/2023","19,079.00","18,926.16","19,089.73","18,907.74","211.87M","1.09%"
"10/31/2023","18,873.47","18,883.83","18,928.22","18,823.89","255.77M","0.09%"
"10/30/2023","18,856.76","18,794.45","18,966.82","18,762.32","175.90M","0.64%"
"10/27/2023","18,737.39","18,916.12","18,927.38","18,692.06","169.62M","-0.73%"
"10/26/2023","18,875.31","18,918.13","18,987.40","18,811.30","193.01M","-0.38%"
"10/25/2023","18,947.85","18,929.68","19,090.76","18,922.40","182.31M","-0.20%"
"10/24/2023","18,986.49","19,091.21","19,139.19","18,952.15","191.87M","-0.32%"
"10/23/2023","19,046.74","19,042.88","19,193.35","18,937.56","194.66M","-0.36%"
"10/20/2023","19,115.64","19,309.50","19,309.50","19,115.64","200.97M","-1.21%"
"10/19/2023","19,348.81","19,448.63","19,505.24","19,327.12","193.91M","-0.52%"
"10/18/2023","19,450.70","19,670.14","19,670.14","19,434.34","189.31M","-1.23%"
"10/17/2023","19,692.80","19,561.61","19,768.64","19,552.24","195.98M","0.37%"
